id,Model Anger,Model Offensive,Model Hate,First Human Annotator Anger,First Human Annotator Offensive,First Human Annotator Hate,Second Human Annotator Anger,Second Human Annotator Offensive,Second Human Annotator Hate
1240728985111113729,0,0,0,0,0,0,0,0,0
1240818970749358080,0,0,0,0,0,0,0,0,0
1241105224833646593,0,0,0,0,0,0,0,0,0
1240883750516342784,1,0,0,1,0,0,1,0,0
1241240412750135297,0,0,0,0,0,0,0,0,0
1241412983856791559,0,0,0,0,0,0,0,0,0
1241511443020656640,0,0,0,0,0,0,0,0,0
1241377079678996480,0,0,0,0,0,0,0,0,0
1240705915709313024,0,0,0,0,0,0,0,0,0
1240867219610820608,0,0,0,0,0,0,0,0,0
1241028049107177472,1,1,0,1,1,0,1,1,0
1241131989970927622,0,0,0,0,0,0,0,0,0
1241225326715437057,0,0,0,0,0,0,0,0,0
1241326763969581057,0,0,0,0,0,0,0,0,0
1241375232524464130,0,0,0,0,0,0,0,0,0
1241422744270647296,0,0,0,0,0,0,0,0,0
1241132213254512641,1,0,0,1,0,0,1,0,0
1240742226872786944,0,0,0,0,0,0,0,0,0
1241475094838468609,0,0,0,0,0,0,0,0,0
1241072322930409472,0,0,0,0,0,0,0,0,0
1243784310408105984,0,0,0,0,0,0,0,0,0
1243008784609378305,1,0,0,1,0,0,1,0,0
1242494932042031105,0,0,0,0,0,0,0,0,0
1243547583538180096,0,0,0,0,0,0,0,0,0
1242238072361754624,0,0,0,0,0,0,0,0,0
1242202999633543168,0,0,0,0,0,0,0,0,0
1242293023234375683,0,0,0,0,0,0,0,0,0
1243433433474334720,1,0,0,0,0,0,0,0,0
1243023704902250496,1,0,0,1,0,0,1,0,0
1243557072194531328,0,0,0,0,0,0,0,0,0
1242043868310384640,1,0,0,1,0,0,1,0,0
1243645845930729474,0,0,0,0,0,0,0,0,0
1242654505415643143,0,0,0,0,0,0,0,0,0
1244029473760129025,0,0,0,0,0,0,0,0,0
1244010998089957381,0,0,0,0,0,0,0,0,0
1243184869506760706,0,0,0,0,0,0,0,0,0
